ID,name,information,birthDate,birthPlace,college
1,Aaron Kromer,Aaron Kromer is the current offensive coordinator coach for the Chicago Bears of the NFL.He coached the 2000 Northwestern football camp. He is a 1985 graduate of Margaretta High School in Castalia Ohio where he played football and basketball.Kromer was hired by the New Orleans Saints in 2008 as the running backs coach before becoming the offensive line coach the following season.,NULL,NULL,NULL
2,Adam Gase,Adam Gase (born March 29 1978) is the current offensive coordinator for the Denver Broncos of the National Football League. He was promoted to the position on January 17 2013. He had previously been the team's quarterbacks coach.Gase has also coached for the LSU Tigers Detroit Lions and San Francisco 49ers.He is married to the daughter of New Orleans Saints linebackers coach Joe Vitt.,3/29/1978,Ypsilanti Michigan,Michigan State University
6,Al Saunders,Al Saunders (born February 1 1947) an American football coach currently employed by the Oakland Raiders.,2/1/1947,London,{University of Southern California|San Jose State University}
9,Andy Moeller,Andy Moeller is the offensive line coach for the Cleveland Browns of the National Football League. He is the son of Gary Moeller. Moeller was a player for the Michigan Wolverines football team and served with the team for eight years before joining the Baltimore Ravens. He replaced John Matsko in 2011 after Matsko was fired.,NULL,University of Michigan,NULL
10,Andy Reid,Andrew Walter Andy Reid (born March 19 1958) is a professional American football coach who is the head coach of the Kansas City Chiefs of the National Football League (NFL). Reid was previously the head coach of the Philadelphia Eagles a post he held from 1999 to 2012. From 2001 to 2012 he was also the Eagles' executive vice president of football operations effectively making him the team's general manager.,3/19/1958,NULL,Brigham Young University
12,Ben McAdoo,Ben McAdoo is currently the offensive coordinator for the New York Giants. He was hired on January 14 2014. Previously he spent eight seasons with the Green Bay Packers as tight ends coach for six years and quarterbacks coach for two years and previously worked under Green Bay head coach Mike McCarthy in 2004 with the New Orleans Saints and in 2005 with the San Francisco 49ers. He has also served as a coach at five colleges since 2001.,7/9/1977,NULL,Indiana University of Pennsylvania
14,Bill Belichick,William Stephen Bill Belichick (/?b?l?t??k/ born April 16 1952) is an American football head coach for the New England Patriots of the National Football League. He also has extensive authority over the Patriots' football operations effectively making him the team's general manager as well. Coaching continuously in various roles in the NFL since 1975 Belichick earned his first head coaching job with the Cleveland Browns in 1991.,4/16/1952,NULL,Wesleyan University
15,Bill Callahan ,William E. Callahan (born July 31 1956) is the offensive coordinator and offensive line coach for the Dallas Cowboys. He was formerly the head coach of the Oakland Raiders for the 2002-2003 seasons and for the University of Nebraska for the 2004-2007 seasons.,7/31/1956,Illinois,NULL
17,Bill Lazor,William V. Lazor (born June 14 1972) is an American football coach and former player. He is currently the offensive coordinator for the Miami Dolphins. Lazor has previously served as the quarterbacks coach for the Washington Redskins and Seattle Seahawks of the National Football League. He played collegiately as a quarterback at Cornell University from 1991 to 1993.,6/14/1972,NULL,NULL
19,Bill O'Brien ,William J. Bill O'Brien (born October 23 1969) is the current head coach and offensive coordinator of the Houston Texans of the National Football League. He previously was the head coach of the Penn State Nittany Lions from 2012 to 2013.O'Brien began his coaching career in 1993 at Brown University before spending more than a decade coaching in the ACC. He joined the New England Patriots in 2007 where he eventually served as quarterbacks coach and offensive coordinator in 2011.,10/23/1969,NULL,NULL
20,Bill Sheridan,Bill Sheridan (born January 27 1959) is an American football coach is currently the linebackers coach for the Detroit Lions of the National Football League (NFL). Sheridan was previously the defensive coordinator for the Tampa Bay Buccaneers. He was also a coach for a number of college teams including Notre Dame and Michigan State. From 2005 to 2008 he was the linebackers coach for the NFL's New York Giants. In 2009 he was the defensive coordinator for the New York Giants.,1/27/1959,Detroit,NULL
22,Billy Miller ,Billy RoShawn Miller (born April 24 1977 in Los Angeles California) is a retired American football tight end. He has won a Super Bowl with the New Orleans Saints of the National Football League. He was originally drafted by the Denver Broncos in the seventh round of the 1999 NFL Draft.,4/24/1977,Los Angeles California,USC Trojans football
25,Bob Quinn ,Bob Quinn (born c. 1976 in Norwood Massachusetts) is the current American football Director of Pro Scouting for the New England Patriots of the National Football League. After graduating from Norwood High School Quinn attended the University of Connecticut graduating in 1998. While earning his masters degree in sports management at Connecticut he was a graduate assistant for the school in 1998 and 1999.,NULL,Norwood Massachusetts,NULL
26,Bob Sanders ,Bob Sanders is an American football coach and currently the linebackers coach for the Oakland Raiders. He previously coached for Buffalo Bills from 2009-2012 after coaching for four years with the Green Bay Packers four years with the Miami Dolphins and after 11 years with the Florida Gators. He was let go by the Green Bay Packers following the 2008 season.Sanders was hired on January 29 2009 by the Buffalo Bills as defensive line coach.,12/5/1953,Jacksonville North Carolina,Davidson College
34,Brad Childress,Brad Chilly Childress (born June 27 1956) is a former head coach of the Minnesota Vikings. He attended high school at the Marmion Academy in Aurora Illinois. Childress has worked for over thirty years as a coach for various college programs and NFL franchises. He is currently a senior offensive assistant for the Kansas City Chiefs.,6/27/1956,Aurora Illinois,Eastern Illinois University
37,Brendan Daly ,Brendan Daly (born September 10 1975) is a Assistant Coach for the New England Patriots. Daly was the defensive line coach of the St. Louis Rams of the National Football League from 2009 to 2011 after spending three seasons as the assistant defensive line coach for the Minnesota Vikings.Daly worked with the Villanova defensive linemen in 2005. He spent the 1999 season working with the TEs. The 1999 Wildcats went 7-4 and Talley posted his 100th victory at the school.,9/10/1975,NULL,NULL
41,Brian Daboll,Brian Daboll (born April 14 1975 in Welland Ontario) is an American football coach who is a current coaching assistant for the New England Patriots,4/14/1975,Welland Ontario,University of Rochester
42,Brian Flores,Brian Flores (born February 24 1981 in Brooklyn New York) is a current American football safeties coach for the New England Patriots of the National Football League. After attending Poly Prep Country Day School in Brooklyn New York Flores played football at Boston College as a linebacker from 1999 through 2003. In 2004 Flores joined the Patriots as a scouting assistant. He then became a pro scout in 2006 before moving to the coaching staff as a special teams coaching assistant in 2008.,2/24/1981,Brooklyn,Boston College
44,Brian Schottenheimer,Brian Schottenheimer (born October 16 1973) is an American football coach. He is the current offensive coordinator of the St.Louis Rams of the National Football League (NFL). Before becoming an offensive coordinator he was the quarterback coach for the San Diego Chargers. His father Marty Schottenheimer is formerly the head coach of the Kansas City Chiefs and his uncle Kurt Schottenheimer was also the defensive backs coach for the Chiefs.,10/16/1973,NULL,NULL
45,Brian Smith ,Brian Smith (born in Marathon Florida) is the current American football college scouting coordinator for the New England Patriots of the National Football League. Smith attended Phillips Andover in Andover Massachusetts lettering in football. He then played football as a cornerback at Davidson College in Davidson North Carolina in 2000. He later transferred to Providence College graduating in 2004.,NULL,Marathon Florida,NULL
47,Brock Olivo,James Brockman Olivo (born June 24 1976 in St. Louis Missouri) is a former American football running back in the National Football League who played for the Detroit Lions (1998-2002). He is currently the assistant Special Teams coach for the Kansas City Chiefs.,6/24/1976,St. Louis,University of Missouri
48,Bruce Arians,Bruce Arians (born October 3 1952) is an American football coach who currently serves as the head coach for the Arizona Cardinals of the National Football League (NFL). He also served as interim head coach of the Indianapolis Colts during the 2012 season when their head coach Chuck Pagano was diagnosed with leukemia. He guided the Colts to a 9-3 record over his tenure which lasted from October 1 until Pagano's return on December 24. He has also been a head coach at the collegiate level.,10/3/1952,NULL,NULL
56,Chad O'Shea,Chad O'Shea (born December 18 1972 in Houston Texas) is a wide receivers coach for the New England Patriots of the National Football League.,12/18/1972,NULL,NULL
61,Chip Kelly,Charles Chip Kelly (born November 25 1963) is an American football coach. He is currently the head coach of the Philadelphia Eagles and the former head coach at the University of Oregon. During his four seasons at Oregon he led the team to three Pac-12 Conference championships and four BCS game appearances.,11/25/1963,New Hampshire,NULL
62,Chris Jones ,Chris Jones (born c.?1967 in South Pittsburg Tennessee) is the current head coach of the Edmonton Eskimos of the Canadian Football League. He had previously been the Defencive Coordinator for both the Montreal Alouettes and Calgary Stampeders of the CFL.,NULL,NULL,NULL
64,Chris Scelfo,Chris Scelfo is an American football coach currently serving as the tight ends coach for the Atlanta Falcons. He served as head coach at Tulane from 1998 to 2006 including in the aftermath of Hurricane Katrina and amassed a 37-57 record. Scelfo is the only Tulane head coach to have won two bowl games. He previously held assistant coaching positions at Marshall and Georgia.He also interviewed for UAB and Hawaii job.,9/30/1963,NULL,NULL
67,Chuck Pagano,Charles David Chuck Pagano (born October 2 1960) is an American football coach and former player. He is currently the head coach for the Indianapolis Colts of the National Football League (NFL) a position he assumed in January 2012. Pagano has previously served as the defensive coordinator of the Baltimore Ravens in 2011. He is the brother of San Diego Chargers defensive coordinator John Pagano.,10/2/1960,NULL,Wyoming Cowboys football
69,Clancy Barone,Clarence Barone is the tight ends coach for the National Football League's Denver Broncos. Barone has also been the Offensive Line Coach for the Broncos in 2010 he served as the Broncos Tight Ends Coach in 2009 where he will again coach for the Broncos in 2014. He also has served as offensive line and tight ends coach for the Atlanta Falcons as well as tight ends coach for the San Diego Chargers.,7/26/1963,San Andreas California,NULL
70,Clayton Lopez,Clayton Lopez (born May 6 1970) is an american football coach. He currently serves as defensive backs coach under head coach Dennis Allen for the Oakland Raiders. Played defensive back at University of Nevada from 1991-94.,5/6/1970,Los Angeles,University of Nevada Reno
71,Clyde Christensen,Clyde Christensen (born January 28 1956 in Covina California) is the Quarterbacks coach for the Indianapolis Colts of the National Football League. He has been a coach for the Colts since 2002.,1/28/1956,Covina California,University of North Carolina
72,Cory Undlin,Cory Undlin (born June 29 1971) is the current American football secondary coach for the Denver Broncos of the National Football League.,6/29/1971,St. Cloud Minnesota,NULL
73,Craig Johnson ,Craig Johnson (born March 3 1960 in Rome New York) was most recently the quarterbacks coach for the National Football League's Minnesota Vikings. Prior to the Vikings he was the quarterbacks coach for the Tennessee Titans for seven seasons and running backs coach for the last season. Before the Titans Johnson had coached quarterbacks at various colleges for 10 years.,3/3/1960,Rome New York,NULL
76,Dan Quinn ,Dan Quinn (born September 11 1970) is the current defensive coordinator for the Seattle Seahawks. Quinn originally joined Seattle on January 12 2009 after spending the previous six years coaching the defensive lines for the San Francisco 49ers (2003-04) Miami Dolphins (2005-06) and the New York Jets (2007-08). He began his NFL coaching career in San Francisco as their defensive quality control coach in 2001 before moving to the defensive line.,NULL,NULL,NULL
78,Danny Langsdorf,Danny Langsdorf (born June 28 1972) is the current quarterbacks coach for the New York Giants. In his six years as the offensive coordinator at Oregon State his offenses have produced big numbers. Four of the top eight statistical season performances in total offense at Oregon State have come under his guidance.,6/28/1972,McMinnville Oregon,NULL
79,Danny Smith ,Danny Smith (born November 7 1953) is the special teams coordinator for the Pittsburgh Steelers of the National Football League.Prior to the Steelers Smith coached the Redskins special teams from 2004-2012 and the Buffalo Bills special teams from 2001-03. In Smith's last year in Buffalo the Bills finished third in the NFL in kickoff coverage.,9/7/1953,Pittsburgh Pennsylvania,NULL
81,Darryl Drake,Darryl Drake was the wide receivers coach of the Chicago Bears of the National Football League.,NULL,NULL,NULL
82,Dave DeGuglielmo,Dave DeGuglielmo (born July 15 1968 in Cambridge Massachusetts) is the current American football offensive line coach for the New England Patriots of the National Football League.,7/15/1968,Cambridge Massachusetts,NULL
83,Dave Fipp,Dave Fipp (born August 8 1974 in Albuquerque New Mexico) is an American football coach serving as special teams coordinator for the Philadelphia Eagles of the National Football League.,8/8/1974,Albuquerque New Mexico,NULL
87,David Caldwell ,David Caldwell (born c. 1974) is the current general manager of the Jacksonville Jaguars of the National Football League (NFL). Before joining the Jaguars in 2013 Caldwell worked for the Carolina Panthers Indianapolis Colts and Atlanta Falcons.,NULL,NULL,NULL
88,David Corrao,David Corrao (born June 11 1974) is the Assistant Linebackers Coach for the Miami Dolphins. He played one season of college football at the University of San Diego.,6/11/1974,NULL,NULL
97,Dom Capers,Ernest Dominic Dom Capers (born August 7 1950) is an American football coach. He is the current defensive coordinator of the Green Bay Packers and the only man to serve two different National Football League expansion teams as their inaugural head coach.,8/7/1950,NULL,NULL
99,Doug Marrone,Douglas Charles Marrone (born July 25 1964) is an American football coach and former player. He is currently the head coach for the Buffalo Bills of the National Football League a position he assumed in January 2013. He previously was the head football coach at Syracuse University from 2009 to 2012 compiling a career college football record of 25-25. Before that he served as offensive coordinator for the New Orleans Saints from 2006 to 2008.,7/25/1964,NULL,NULL
100,Dowell Loggains,Dowell Loggains (born October 1 1980) is currently the Quarterbacks coach for the Cleveland Browns. He served as Offensive Coordinator for the Tennessee Titans from 2012-2013 as a part of Mike Munchak coaching staff. Days after Ken Whisenhunt took over as Tennessee Titans Head Coach Loggains was informed that he wouldn't remain with the organization. He was previously the teams quarterbacks coach. He played college football at Arkansas.,10/1/1980,Newport Arkansas,University of Arkansas
106,Eric Studesville,Eric Studesville (born May 29 1967) is the current Denver Broncos Running Backs coach. Studesville is best known as the former head coach of the Denver Broncos a position he held on an interim basis in December 2010. He replaced Josh McDaniels after 12 games in the 2010 NFL Season. He was the first African American head coach in Broncos history although only on an interim basis.,5/29/1967,NULL,University of Wisconsin Whitewater
107,Ernie Adams ,Ernie Adams (born c. 1953) is the Football Research Director for the New England Patriots of the National Football League. He is a longtime friend of head coach Bill Belichick. With Adams the Patriots have won three Super Bowls. Adams is known for his eccentric personality and low profile as well as his extremely thorough analysis of the game.,NULL,Brookline Massachusetts,Northwestern University
108,Floyd Reese,Floyd Reese (born August 8 1948) is a senior football advisor for the New England Patriots of the National Football League (NFL). From 1994 to 2006 Reese held the position of general manager of the Tennessee Titans.,8/8/1948,NULL,UCLA Bruins football
110,Frank Scelfo,Frank Scelfo (born February 9 1959) is an American football quarterbacks coach for the Jacksonville Jaguars of the National Football League. He was signed by the Jaguars on January 23 2013. He played college baseball at Northeast Louisiana.,2/9/1959,Louisiana,NULL
112,Freddie Kitchens,Freddie Kitchens (born November 29 1974) is the current quarterbacks coach for the Arizona Cardinals of the National Football League. He has previously been a coach for the Dallas Cowboys Mississippi State Bulldogs North Texas Mean Green and LSU Tigers.,11/29/1974,Gadsden Alabama,NULL
114,Gary Gibbs,Gary Gibbs (born August 13 1952) is an American football coach and former player. Gibbs served as the head football coach at the University of Oklahoma for six years following the resignation of Barry Switzer from 1989 to 1994 compiling a record of 44 23 2.Gibbs spent the first half of his adult life at Oklahoma as a player assistant coach and head coach. He played for the Sooners as a linebacker under Switzer from 1972 to 1974.,8/13/1952,Beaumont Texas,NULL
117,George Edwards ,George Edwards (born January 16 1967) is an American football coach serving as the Defensive Coordinator for the Minnesota Vikings. He was the defensive coordinator of the Buffalo Bills of the National Football League from 2010 to 2011. He has over 20 years of collegiate and professional coaching experience.,1/16/1967,Siler City North Carolina,Duke Blue Devils football
118,George Godsey,George Robert Godsey (born January 1 1979) is the Quarterbacks coach for the Houston Texans and a former Central Florida assistant coach. He played quarterback at Georgia Tech before playing in the Arena Football League for one season.,1/1/1979,NULL,NULL
125,Greg Olson ,Greg Rex Olson (born March 1 1963) is an American football coach. He is currently the offensive coordinator for the Oakland Raiders. He was the offensive coordinator of the Tampa Bay Buccaneers of the National Football League from 2009 to 2011. He served the 2012 Season as Quarterbacks coach for the Jacksonville Jaguars.,3/1/1963,Richland Washington,Central Washington University
126,Greg Roman,Gregory P. Roman (born August 19 1972) is the current offensive coordinator for the San Francisco 49ers. He was hired by the 49ers on January 15 2011. He had previously been a coach under Jim Harbaugh's staff at Stanford from 2009 to 2010.,8/19/1972,NULL,NULL
128,Gregg Williams,Gregg Williams (born July 15 1958) is an American football coach. He is currently the defensive coordinator for the St. Louis Rams. Previously he was head coach of the Buffalo Bills.,7/15/1958,NULL,Truman State University
130,Gus Bradley,Paul Casey Gus Bradley (born July 5 1966) is the current head coach for the Jacksonville Jaguars. He previously was the Tampa Bay Buccaneers linebackers coach from 2006-2008 and the defensive coordinator for the Seattle Seahawks from 2009 to 2012.,7/5/1966,NULL,NULL
134,Howie Roseman,Howard Howie Roseman (born June 23 1975) is the general manager for the Philadelphia Eagles of the National Football League. As of May 2011 Roseman is the youngest general manager in the NFL.,6/23/1975,Brooklyn New York,NULL
136,Hue Jackson,Huey Hue Jackson (born October 22 1965) is the current offensive coordinator of the Cincinnati Bengals. Before that he served as the head coach of the Oakland Raiders of the National Football League after previously serving as the team's offensive coordinator in 2010.Before joining Oakland Jackson served as offensive assistant coach for several NFL teams most notably as the offensive coordinator for the Washington Redskins under Steve Spurrier and the Atlanta Falcons under Bobby Petrino.,10/22/1965,NULL,NULL
137,Ivan Fears,Ivan Fears (born November 15 1954 in Portsmouth Virginia) is the current American football running backs coach for the New England Patriots of the National Football League.,11/15/1954,Portsmouth Virginia,College of William & Mary
139,Jason Garrett,Jason Calvin Garrett (born March 28 1966) is an American football coach and former player. He is currently the head coach of the Dallas Cowboys of the NFL. Garrett was formerly the offensive coordinator and assistant head coach of the Cowboys before being promoted to interim head coach after the firing of Wade Phillips on November 8 2010.,3/28/1966,NULL,Princeton Tigers football
140,Jason Licht,Jason Licht (/?la?t/ born February 13 1971) is the current general manager of the Tampa Bay Buccaneers of the National Football League (NFL). Before joining the Bucs in 2014 Licht worked for the Miami Dolphins Carolina Panthers New England Patriots Philadelphia Eagles and Arizona Cardinals.,2/13/1971,NULL,Nebraska Wesleyan University
141,Jason Tarver,Jason Tarver (born August 28 1974) is an American football coach and currently the defensive coordinator for the Oakland Raiders. Previously he was co-defensive coordinator and inside linebacker coach for the Stanford Cardinal football team.,8/28/1974,NULL,West Valley College
142,Jedd Fisch,Jedd Fisch (born May 5 1976) is the current offensive coordinator for the Jacksonville Jaguars team. He was hired on January 19 2013.,5/5/1976,NULL,NULL
144,Jeff FitzGerald,Jeff FitzGerald is an American football coach. He is currently the linebackers coach for the Indianapolis Colts of the National Football League (NFL) a position he assumed in February 2012. FitzGerald has previously served in the same capacity for the Washington Redskins Arizona Cardinals Baltimore Ravens and Cincinnati Bengals.,4/18/1960,Burbank California,NULL
146,Jeff Stoutland,Jeff Stoutland is the offensive line coach for the Philadelphia Eagles. He served as the interim head football coach for the University of Miami in 2010.,2/10/1962,NULL,NULL
147,Jeff Tedford,Jeffrey R. Jeff Tedford (born November 2 1961) is the offensive coordinator for the Tampa Bay Buccaneers of the National Football League. He is best known as the former head coach of the California Golden Bears where he was twice named Pac-10 Coach of the Year and holds Cal records for most wins games coached and bowl game victories.Tedford played college football for Fresno State before playing professionally at quarterback in the Canadian Football League (CFL).,11/2/1961,California ,NULL
149,Jerry Rosburg,Jerry Rosburg (born November 24 1955) is an American football coach. In 2008 he was hired as assistant head coach / special teams coach for the Baltimore Ravens of the National Football League.,11/24/1955,NULL,NULL
152,Jim Caldwell ,James Jim Caldwell (born January 16 1955) is an American football coach who is currently serving as the head coach of the Detroit Lions of the National Football League (NFL). Caldwell served as the head football coach at Wake Forest University from 1993 to 2000 and as the head coach of the NFL's Indianapolis Colts from 2009 to 2011.,1/16/1955,NULL,University of Iowa
158,Jim Schwartz,James J. Schwartz (born June 2 1966) is an American football defensive coordinator for the Buffalo Bills. He was the head coach of the Detroit Lions from 2009 to 2013.,7/2/1966,NULL,Georgetown University
169,Joe DeCamillis,Joe DeCamillis (born June 29 1965) is currently the special teams coordinator and Assistant Head Coach for the Chicago Bears. He has also coached for the Dallas Cowboys Denver Broncos New York Giants Atlanta Falcons and Jacksonville Jaguars.On May 2 2009 the Dallas Cowboys practice facility collapsed during a wind storm. The collapse left DeCamillis and 11 other Cowboys players and coaches injured.,6/29/1965,Arvada Colorado,NULL
170,Joe Lombardi,Joe Lombardi is the current offensive coordinator for the Detroit Lions of the National Football League (NFL). He was hired away from the New Orleans Saints where he had been quarterbacks coach on January 21 2014.Lombardi joined the Saints as an offensive assistant in 2007 and became quarterbacks coach before the Saints' Super Bowl winning 2009 season.,NULL,NULL,NULL
171,Joe Philbin,Joseph Joe Philbin (born July 2 1961) is an American football coach who is currently the head coach of the Miami Dolphins of the National Football League.,7/2/1961,NULL,Washington & Jefferson College
172,Joe Vitt,Joe Vitt (born August 23 1954) is the assistant head coach and linebackers coach of the New Orleans Saints. He was the interim head coach for the New Orleans Saints during the 2012 season.,8/23/1954,NULL,Towson University
173,Joe Whitt Jr.,Joe Whitt Jr. (born in Auburn Alabama) is currently the cornerbacks coach of the Green Bay Packers. After the majority of the defensive coaching staff was fired after a disappointing 2008 season He was one of only two defensive coaches retained by the Packers. He was then officially announced by the Packers that he was promoted from his defensive quality control position to his current cornerbacks coach on February 3 of 2009 after speculation by the media. Whitt Jr.,NULL,Auburn Alabama,NULL
174,Joe Woods ,Joe Woods (born June 25 1970) is an american football coach. He currently serves as defensive backs coach under head coach Dennis Allen for the Oakland Raiders.,6/25/1970,NULL,Illinois State University
176,John DeFilippo,John DeFilippo (born (1978-04-12)April 12 1978) is an American football coach. He currently serves as quarterbacks coach under head coach Dennis Allen for the Oakland Raiders. DeFilippo spent two summers doing NFL internships with the Carolina Panthers (1997) and the Indianapolis Colts (1998). He played quarterback at James Madison University.,4/12/1978,NULL,James Madison University
177,John Fassel,John Fassel (born January 10 1974) is a special teams coordinator for the St. Louis Rams of the National Football League.He is the son of coach Jim Fassel.On January 31st 2012 it was announced that he would be the Special Teams Coach of the St. Louis Rams.,1/10/1974,Anaheim California,NULL
178,John Fox ,John Fox (born February 8 1955) is an American football coach who is the head coach of the Denver Broncos of the National Football League.A former defensive back Fox is considered a defensive-minded coach but has presided over a record setting offense with Quarterback Peyton Manning throwing for 5477 yards and 55 touchdowns both records in the 2013 NFL Season as the offense combined for 7317 yards also a record.,2/8/1955,NULL,San Diego State University
179,John Grieco,John Grieco is an American football strength and conditioning coach for the Oakland Raiders of the National Football League. Has 15 years of strength and conditioning coaching experience at the collegiate level ranks also included time with the University of Florida East Carolina University UNLV and University of Louisiana-Monroe. He came to the Raiders as an assistant to longtime NFL strength and conditioning coach Al Miller when Miller returned to the NFL after a long hiatus.,NULL,NULL,University of Florida
180,John Harbaugh,John Harbaugh (born September 23 1962) is the head coach of the Baltimore Ravens. Previously he coached the defensive backs for the Philadelphia Eagles and served as the Eagles special teams coach for nine years. Harbaugh and his younger brother San Francisco 49ers coach Jim Harbaugh are the first pair of brothers in NFL history to serve as head coaches. John and the Ravens beat his brother Jim and the 49ers at Super Bowl XLVII in New Orleans on February 3 2013 by a score of 34-31.,9/23/1962,NULL,Miami RedHawks football
182,John Idzik Jr.,John Idzik Jr. (born 1961) is the general manager of the New York Jets of the National Football League. He was named to the position on January 18 2013 after spending the previous six seasons in the Seahawks front office as the vice president of football administration. His father John Idzik was also a coach in the National Football League and the Canadian Football League.,NULL,Detroit Michigan,NULL
185,John Rushing,John Rushing (born February 26 1972) is an American football coach. He is the currently the defensive quality control coach for the Green Bay Packers of the National Football League (NFL). Rushing served for six years as a defensive coach at Utah State as well as serving as a secondary coach for three other colleges.His brother is Hamilton Tiger-Cats Wide Receiver Kevin Robinson.,2/26/1972,Merced California,NULL
