ID,name,information,birthDate,birthPlace,college
186,John Schneider ,John Schneider (born 1971) is a professional American football executive currently serving as the general manager for the Seattle Seahawks of the National Football League (NFL). Schneider was previously a front office executive for the Washington Redskins Green Bay Packers and the Seattle Seahawks in 2000. Schneider served as the Director of Football Operations for the Green Bay Packers from 2008 to 2009. He helped architect the roster that eventually went on to win Super Bowl XLVIII.,NULL,Wisconsin,University of St. Thomas (Minnesota)
187,Johnnie Lynn,Johnnie Ross Lynn (born December 19 1956) is a former American football defensive back who played for the New York Jets in the National Football League from 1979 to 1986. He became a secondary coach after his playing career ended and is the current defensive backs coach for the Oakland Raiders.,12/19/1956,NULL,UCLA Bruins football
189,Jon Hoke,Jon Hoke (born January 24 1957) is currently the defensive backs coach for the Chicago Bears of the National Football League.,1/24/1957,Kettering Ohio,NULL
190,Jon Robinson ,Jonathan Robinson (born in Union City Tennessee) is the current American football director of college scouting for the New England Patriots of the National Football League. After high school Robinson played football at the United States Air Force Academy for one season before transferring to Southeast Missouri State University after one semester where he played three seasons as a defensive lineman.,NULL,Union City Tennessee,Southeast Missouri State University
191,Jon Sandusky,Jon D. Sandusky (born February 21 1977) is the Director of Player Personnel for the Cleveland Browns of the National Football League.,2/21/1977,NULL,NULL
192,Josh Boyer,Josh Boyer (born January 21 1977 in Heath Ohio) is an American football coach in the National Football League currently serving as cornerbacks coach for the New England Patriots. After graduating from Muskingum College where he played football as a wide receiver and defensive back he began his coaching career in 2000 as a graduate assistant at King's College Pennsylvania and then served in the same capacity at the University of Dayton in 2001 and Kent State University in 2002 and 2003.,1/27/1977,Heath Ohio,NULL
195,Keith Armstrong ,Keith Armstrong (born December 15 1963 in Trenton New Jersey) is an American football special teams coordinator for the Atlanta Falcons of the National Football League. Armstrong has over two decades of professional coaching experience. He played college football at Temple.On December 31 2012 NFL.com reported that Armstrong is expected to be interviewed by the Chicago Bears for the head coaching position after Lovie Smith's firing.,12/15/1965,Trenton New Jersey,NULL
196,Keith Burns ,Melvin Keith Burns (born September 26 1960) is the Assistant Special Teams Coach for the Oakland Raiders of the National Football League. He was previously the defensive backs coach at Ole Miss. and before that the head coach at the University of Tulsa during the years 2000 to 2002 where amongst his assistants was current Raiders head coach Dennis Allen. While at Tulsa Burns had a coaching record of 7-28.,9/26/1960,Hurst Texas,University of Arkansas
199,Kelly Skipper,Kelly Skipper (born (1967-07-25)July 25 1967) is an American football coach. He currently serves as running backs coach under head coach Dennis Allen for the Oakland Raiders. Skipper spent two summers doing NFL internships with the Seattle Seahawks and Washington Redskins. Played running back at Fresno State.,NULL,NULL,California State University Fresno
200,Ken Flajole,Ken Flajole (born October 4 1954) is an American football coach.He is the current inside linebackers coach of the Cleveland Browns of the National Football League (NFL). He was the defensive coordinator of the St. Louis Rams of the National Football League (NFL) from 2009 to 2011. Prior to that he served as linebackers coach for the Carolina Panthers from 2003 to 2008. Flajole replaced Sal Sunseri as defensive assistant in 2003 bringing with him five years of NFL coaching experience.,10/4/1954,Seattle,NULL
202,Kevin Coyle,Kevin Coyle (born January 14 1956) is an American football coach. He is currently the defensive coordinator for the Miami Dolphins of the National Football League. He was hired by the Dolphins on January 27 2012. Prior to joining the Dolphins Coyle spent 8 years as the defensive backs coach for the Cincinnati Bengals.,1/14/1956,NULL,NULL
204,Kevin O'Dea,Kevin O'Dea (born June 9 1960 in Williamsport Pennsylvania) is an American football coach currently serving as special teams coordinator for the Tampa Bay Buccaneers of the National Football League.,6/9/1960,Williamsport Pennsylvania,Lock Haven University of Pennsylvania
205,Kippy Brown,Kippy Brown (born March 6 1955 in Sweetwater Tennessee) is the wide receivers coach of the Seattle Seahawks. He was a collegiate level starting quarterback for Memphis State and has coached in various capacities at both the collegiate and professional levels of American football. He graduated from Memphis State in 1977 with a degree in communications.,3/6/1955,Sweetwater Tennessee,NULL
206,Kirk Olivadotti,Kirk Olivadotti (born January 1 1974) is an American football coach who has worked for teams such as the Maine Maritime Academy Indiana State University the Washington Redskins and the University of Georgia. Olivadotti was the longest-tenured member of the Redskins' coaching staff having worked with their defense for eleven seasons before leaving to be the linebackers coach for the Bulldogs in 2011.,1/1/1974,Wilmington Delaware,Purdue University
208,Kyle Shanahan,Kyle Shanahan (born December 14 1979) is the current offensive coordinator for the Cleveland Browns of the National Football League (NFL). Shanahan at 28 years 26 days old became the youngest coordinator in the NFL when he was promoted by the Houston Texans on January 11 2008. His father Mike Shanahan is the former head coach for the Los Angeles Raiders Denver Broncos and Washington Redskins.,12/14/1979,Minneapolis,University of Texas at Austin
214,Lovie Smith,Lovie Lee Smith (born (1958-05-08)May 8 1958) is the current head coach of the Tampa Bay Buccaneers of the National Football League. He was previously the head coach of the Chicago Bears from 2004 to 2012. Smith has been to the Super Bowl twice as the defensive coordinator for the 2001 St. Louis Rams and as the head coach for the Chicago Bears in 2006.,5/8/1958,Gladewater Texas,University of Tulsa
216,Marc Trestman,Marc Trestman (born January 15 1956) is an American football coach. He is currently the head coach of the Chicago Bears of the National Football League. Previously he was the head coach of the Montreal Alouettes of the Canadian Football League for five seasons and led the club to two consecutive Grey Cup championships and was named CFL Coach of the Year in 2009.,1/15/1956,Minneapolis Minnesota,{University of Minnesota|Minnesota State University Moorhead}
218,Mark Hutson,Mark Hutson (born August 29 1966) is an American football NFL coach currently serving as the tight ends coach for the Oakland Raiders under new head coach Dennis Allen. In the 1980s he was an All-American offensive lineman for the Oklahoma Sooners and among the top players in school history.,8/29/1966,NULL,University of Oklahoma
220,Marvin Lewis,Marvin Ronald Lewis (born September 23 1958) is the head coach of the Cincinnati Bengals of the National Football League a position he has held since January 14 2003 making him the 2nd longest tenured head coach in the NFL behind New England Patriots head coach Bill Belichick.,9/23/1958,NULL,NULL
221,Matt Patricia,Matt Patricia (born September 13 1974 in Sherrill New York) is an American football defensive coordinator for the New England Patriots of the National Football League.,9/13/1974,Sherrill New York,Rensselaer Polytechnic Institute
224,Mel Tucker,Mel Tucker (born January 4 1972) is an American football coach who is currently the defensive coordinator of the Chicago Bears of the National Football League (NFL).,1/4/1972,Cleveland Ohio,NULL
229,Mike Mallory,Mike Mallory is the special teams coordinator for the Jacksonville Jaguars. He is a former American football linebacker who played for the University of Michigan Wolverines from 1982 to 1985. He was the Most Valuable Player for the 1984 Wolverines team and was a finalist for the Butkus Award in 1985. Since 1986 he has been a college football coach including two years as the defensive coordinator at the University of Illinois.,NULL,NULL,NULL
231,Mike McCarthy ,Michael John Mike McCarthy (born November 10 1963) is a professional American football coach currently serving as the head coach of the National Football League's Green Bay Packers.,11/10/1963,NULL,NULL
232,Mike Miller ,Mike Miller (born April 9 1970) is an American football coach. He was the offensive coordinator for the Arizona Cardinals of the National Football League from 2011 to 2012 and the offensive coordinator and quarterbacks coach for the Montreal Alouettes of the Canadian Football League in 2013. Miller graduated in 1988 from Plum High School in Plum Pennsylvania a suburb of Pittsburgh.,4/9/1970,Pittsburgh,NULL
233,Mike Mularkey,Michael Rene Mularkey (born November 19 1961) is an American professional football coach. He is the tight ends coach for the Tennessee Titans. He played college football for the University of Florida and thereafter he played 9 seasons in the NFL as a tight end for the Minnesota Vikings and Pittsburgh Steelers of the National Football League (NFL).,11/19/1961,NULL,NULL
235,Mike Nolan,Mike Nolan (born March 7 1959) is an American football coach and the current defensive coordinator of the Atlanta Falcons. He was formerly head coach for the San Francisco 49ers and a defensive coordinator for the Baltimore Ravens New York Jets Washington Redskins New York Giants Denver Broncos and Miami Dolphins.,3/7/1959,Baltimore Maryland,NULL
236,Mike Pettine,Michael Anthony Pettine Jr. (born September 25 1966) is an American football coach who is currently the head coach of the NFL's Cleveland Browns. He was formerly the defensive coordinator for the Buffalo Bills New York Jets and the outside linebackers coach for the Baltimore Ravens.Pettine is the son of famous Pennsylvania high school football coach Mike Pettine Sr. who went 326-42-4 record in 33 seasons and won the AAAA state championship four times at Central Bucks High School West.,9/25/1966,,NULL
239,Mike Smith ,Mike Smith known colloquially as Smitty (born June 13 1959) is an American football coach. He is the current head coach for the National Football League's Atlanta Falcons a position he has held since 2008. He previously served as the defensive coordinator for the Jacksonville Jaguars from 2003 until his hiring in Atlanta. In his first season as Falcons head coach Smith was recipient of the NFL Coach of the Year Award by the Associated Press.,6/13/1959,NULL,East Tennessee State University
240,Mike Solari,Mike Solari (born January 16 1955) is an American football coach and former player. He is currently the offensive line coach for the San Francisco 49ers of the National Football League (NFL) a position he has held since the 2010 season. Solari has previously worked for four other NFL teams including a stint as offensive coordinator of the Kansas City Chiefs from 2006 to 2007. He played collegiately as an offensive lineman at San Diego State University.,1/16/1955,NULL,NULL
241,Mike Tomlin,Michael Tomlin (born March 15 1972) is the current head coach for the Pittsburgh Steelers of the American Football Conference succeeding Bill Cowher. Tomlin is the third youngest head coach in any of the four major North American professional sports. He is the tenth African-American head coach in NFL history and first in Steelers history. With the Steelers' victory in Super Bowl XLIII on February 1 2009 Tomlin became the youngest head coach to lead his team to a Super Bowl victory.,3/15/1972,Virginia,William & Mary Tribe football
246,Mike Zimmer,Mike Zimmer (born June 6 1956) is an American football coach who is the head coach of the Minnesota Vikings of the National Football League. He previously was a defensive coordinator in the NFL with the Dallas Cowboys Atlanta Falcons and Cincinnati Bengals.,6/5/1956,Peoria Illinois,Illinois State Redbirds football
247,Monte Kiffin,Monte Kiffin (born February 29 1940) is an American football coach currently the assistant head coach of defense for the Dallas Cowboys . He is widely considered to be one of the preeminent defensive coordinators in modern football as well as one of the greatest defensive coordinators in NFL history.,2/29/1940,NULL,NULL
248,Nathaniel Hackett,Nathaniel Hackett (born December 19 1979) is the current offensive coordinator for the Buffalo Bills of the National Football League. He was hired by the Bills on January 8 2013. He had previously served as offensive coordinator for Bills coach Doug Marrone at Syracuse University.He is the son of former college football and NFL coach Paul Hackett.,12/19/1979,NULL,University of California Davis
251,Nick Caserio,Nick Caserio (born December 27 1975) is an American football executive currently serving as director of player personnel for the New England Patriots of the National Football League. In 2007 he served as wide receivers coach for the Patriots squad to whom Tom Brady threw an NFL-record 50 touchdown passes.,12/27/1975,Lyndhurst Ohio,John Carroll University
252,Norv Turner,Norval Eugene Turner (born May 17 1952) is an American football coach who is currently the offensive coordinator for the Minnesota Vikings of the National Football League (NFL). Turner has also served as offensive coordinator for the San Diego Chargers Miami Dolphins San Francisco 49ers Dallas Cowboys in which position he won two Super Bowls and the Cleveland Browns. He has served as head coach of the Washington Redskins Oakland Raiders and San Diego Chargers.,5/17/1952,Marine Corps Base Camp Lejeune North Carolina,NULL
253,Pat McPherson,Patrick McPherson (born April 15 1969) is the tight ends coach for the Seattle Seahawks. He joins the Seahawks after 11 years with the Denver Broncos. He was the wide receivers coach for the Denver Broncos before joining the Seahawks. He joined the Broncos coaching staff in 1998 as a defensive assistant and in 1999 became an offensive assistant. He then served as the quarterbacks coach from 2003 until 2006.,4/15/1969,Santa Clara California,NULL
254,Pat Meyer,Pat Meyer (born April 5 1972) is the offensive line coach for the Chicago Bears of the National Football League.,4/5/1972,NULL,NULL
255,Patrick Graham ,Patrick Graham (born January 24 1979 in Waterbury Connecticut) is a current American football defensive line coach for the New England Patriots of the National Football League. Graham played college football as a defensive lineman at Yale University graduating with a bachelor's degree in sociology in 2002. He then worked as a graduate assistant at Wagner College while also studying for an MBA.,1/24/1979,Waterbury Connecticut,NULL
256,Paul Boudreau,Paul T. Boudreau (born December 30 1949) is the current Offensive Line Coach for the NFL's St. Louis Rams. He has served as the offensive line coach for eight different NFL teams one CFL team and four NCAA teams. He has coached in the NFL since 1987. This is his second stint with the Rams organization having coached them in the 2006 and 2007 seasons.,12/30/1949,NULL,NULL
258,Pep Hamilton,Pep Hamilton (born September 19 1974) is the current offensive coordinator for the Indianapolis Colts of the National Football League.,9/19/1974,NULL,NULL
259,Perry Fewell,Perry Fewell (born September 7 1962) is an American football coach who currently serves as the Defensive Coordinator of the New York Giants. Before that he served as the interim head coach and defensive coordinator of the National Football League's Buffalo Bills. He was named interim head coach after serving as the team's defensive coordinator from 2006 to 2009 under head coach Dick Jauron.,9/7/1962,NULL,Lenoir Rhyne University
260,Pete Carroll,For other people named Peter Carroll see Peter Carroll. Not to be confused with Pete Carril.Peter Clay Pete Carroll (born September 15 1951) is the head coach and executive vice president of the Seattle Seahawks of the National Football League. He is a former head coach of the New York Jets New England Patriots and the USC Trojans.,9/15/1951,San Francisco California,University of the Pacific (United States)
262,Phil Emery ,Phillip Phil Emery (born January 16 1959) is the General Manager of the Chicago Bears. He is responsible for the salary cap and coordinates other facets of the football operations. After being hired Bears chairman George McCaskey told him that though head coach Lovie Smith's contract runs through 2013 and that Smith will be head coach in 2012 Emery has the ability to make a change at the position. Smith was eventually fired on December 31 after the Bears missed the playoffs.,1/16/1959,NULL,NULL
265,Raheem Morris,Raheem Morris (born September 3 1976) is the defensive backs coach for the Washington Redskins. He has served as head coach and defensive coordinator for the Tampa Bay Buccaneers of the National Football League. He was hired by the Buccaneers as head coach on January 17 2009 after previous head coach Jon Gruden was fired after seven seasons. Morris was fired on January 2 2012.,9/3/1976,NULL,NULL
266,Randy Jordan,Randy Jordan (born June 6 1970 in Manson North Carolina) is a former professional American football player who played running back for nine seasons for the Los Angeles Raiders the Jacksonville Jaguars and the Oakland Raiders. At Jacksonville he scored the team's first-ever touchdown in 1995. He is a former assistant running backs coach at University of North Carolina Chapel Hill. Now currently is the running backs coach for the Washington Redskins.,6/6/1970,Manson North Carolina,NULL
271,Ray Sherman,Ray Sherman (November 27 1951) is an American football coach and former player. He is currently the wide receivers coach for the St. Louis Rams of the National Football League (NFL).,11/27/1951,Berkeley California,NULL
273,Reggie Herring,Reginald Wayne Herring (born July 3 1959) is an American football coach and former player. A former linebacker at Florida State University he is currently the linebackers coach for the Chicago Bears of the National Football League (NFL). Herring served as the interim head football coach for the University of Arkansas in the 2008 Cotton Bowl Classic.,7/3/1959,NULL,NULL
276,Rich Bisaccia,Richard Bisaccia (born June 3 1960) is the current special teams coordinator for the Dallas Cowboys.Prior to joining the Cowboys Bisaccia was the assistant head coach special teams coordinator and running backs coach for Auburn University's football team he was hired to that position by Gus Malzahn in January 2013.,6/3/1960,NULL,NULL
277,Rick Campbell,Rick Campbell is the head coach for the Ottawa RedBlacks of the Canadian Football League. He was formerly the Calgary Stampeders' defensive coordinator from 2012 to 2013 and was also an assistant coach with the Edmonton Eskimos and Winnipeg Blue Bombers. He is a two-time Grey Cup champion once as the special teams coordinator with the Eskimos in 2003 and again with the Eskimos as the defensive coordinator in 2005. He attended the University of Oregon.,NULL,NULL,NULL
278,Rick Mueller,Rick Mueller (born December 4 1967 in Spokane Washington) is a professional American football executive currently serving as a Personnel Executive with the Philadelphia Eagles of the National Football League. He has also served as the General Manager of the Omaha Nighthawks of the United Football League in 2010-2011.,12/4/1967,Spokane Washington,NULL
279,Rick Spielman,Rick Spielman is the General Manager of the NFL's Minnesota Vikings. He was promoted to General Manager in 2012 after spending 2006-2011 as the team's Vice President of Player Personnel. He formerly worked for ESPN on NFL Live.Spielman is a graduate of Massillon Washington High School located in Massillon Ohio and is the older brother of Chris Spielman the former Detroit Lions linebacker.,NULL,NULL,Southern Illinois University
282,Rob Ryan,Rob Ryan (born December 13 1962) is an American football coach currently employed as the defensive coordinator of the New Orleans Saints. He is the son of former defensive coordinator and head coach Buddy Ryan and the twin brother of current head coach of the New York Jets Rex Ryan.,12/13/1962,NULL,NULL
284,Rod Marinelli,Rodney Marinelli (born July 13 1949) is an American football coach who is currently the defensive coordinator for the Dallas Cowboys. He was fired from his position as head coach one day after coaching the Lions to the worst single-season record in NFL history 016 in 2008.,7/13/1949,NULL,California Lutheran University
285,Romeo Crennel,Romeo Rac Crennel (born June 18 1947) is an American football defensive coordinator for the Houston Texans. Though he has spent much of his career as a defensive assistant he has been the head coach of the Cleveland Browns and the Kansas City Chiefs. On January 20 2014 he signed a 3 year deal to become the next defensive coordinator for the Houston Texans.,6/18/1947,NULL,NULL
286,Ron Prince,Ron Prince (born September 18 1969) is an American football coach currently the assistant head coach and tight ends coach for the Detroit Lions of the National Football League.,9/18/1969,Omaha Nebraska,NULL
289,Sanjay Lal,Sanjay Lal (born (1969-07-23)July 23 1969) is an American football coach. He currently serves as the wide receivers coach for the New York Jets of the National Football League (NFL).,7/23/1969,London,NULL
290,Scott Linehan,Scott Thomas Linehan (born September 17 1963) is an American football coach and currently the passing game coordinator for the Dallas Cowboys. He was previously the head coach of the St. Louis Rams and the offensive coordinator for the Miami Dolphins Minnesota Vikings and Detroit Lions. Prior to becoming an NFL coach in 2002 Linehan was a collegiate assistant coach for 13 seasons.,9/17/1963,NULL,Idaho Vandals football
291,Scott O'Brien,Scott O'Brien (born June 25 1957) is a current American football special teams coach for the New England Patriots of the National Football League.,6/25/1957,NULL,University of Wisconsin Superior
292,Scott Pioli,Scott Pioli (born March 31 1965) is currently an NFL informationalist for NBC Sports' Football Night in America and NBC Sports Network's Pro Football Talk. He was a professional American football executive most recently as general manager for the Kansas City Chiefs of the National Football League (NFL) until his release on January 4 2013. Pioli was previously a front office executive for the Cleveland Browns Baltimore Ravens New York Jets and New England Patriots.,3/31/1965,NULL,Central Connecticut State University
294,Sean McVay,Sean McVay (born January 24 1986) is an American football coach and former player. He is currently the offensive coordinator for the Washington Redskins of the National Football League (NFL).,1/24/1986,NULL,NULL
295,Sean Payton,Patrick Sean Payton (born December 29 1963) is an American football head coach for the New Orleans Saints of the National Football League (NFL). Payton was a quarterback at Naperville Central High School and Eastern Illinois University and played professionally in 1987 and 1988.,12/29/1963,NULL,Eastern Illinois University
297,Skip Peete,Skip Peete is the running backs coach of the Chicago Bears and the brother of former veteran quarterback Rodney Peete. Prior to being hired by the Bears he spent six years as the Dallas Cowboys' running backs coach before which he held the same position with the Oakland Raiders for nine seasons.,09/17/1983,NULL,NULL
301,Steve Spagnuolo,Stephen Christopher Spagnuolo born December 21 1959 is an American football coach who was hired as a senior defensive assistant by the Baltimore Ravens on May 3 2013. He was previously the head coach of the St. Louis Rams from January 2009 to January 2012.,12/21/1959,NULL,NULL
303,Ted Gilmore,Ted Gilmore is the current Wide receivers coach for the Oakland Raiders of the National Football League. He previously held the same position with USC and is a former Assistant Head Coach (Offense) Wide Receivers Coach and Recruiting Coordinator for the University of Nebraska Cornhuskers football team. In 2011 Gilmore was named Wide Receivers Coach of the Year by FootballScoop.,3/21/1967,Wichita Kansas,University of Wyoming
304,Ted Monachino,Ted Monachino (born October 15 1966) is the linebackers coach for the Baltimore Ravens.,10/15/1966,Council Bluffs Iowa,NULL
307,Terrell Williams,Terrell Williams (born June 19 1974) is an American football coach and currently the defensive line coach for the Oakland Raiders.In 2007 Williams worked with the Seattle Seahawks' defensive line during training camp. In 1999 he interned with the Jacksonville Jaguars assisting with the defensive line.,6/19/1974,NULL,East Carolina University
308,Terry Malone,Terry Malone is the current tight ends coach for the New Orleans Saints of the NFL. Prior to the 2006 NCAA Division I FBS football season Malone had been the offensive coordinator for the Michigan Wolverines football team. Malone was hired by the Saints in 2006.As offensive coordinator at Michigan Malone was both preceded and succeeded by Mike DeBord.,NULL,Redford Michigan,NULL
309,Teryl Austin,Teryl Austin (born March 3 1965) is an American football coach and former player. He is currently the defensive coordinator for the Detroit Lions. Austin also served a single season as the Florida Gators defensive coordinator.,3/3/1965,NULL,NULL
310,Thomas Dimitroff,Thomas George Dimitroff Jr. (born 1966) is the current general manager for the Atlanta Falcons of the National Football League. Before joining the Falcons in 2008 Dimitroff was with the New England Patriots for six years. He joined the Patriots in 2002 as a national scout and then was named director of college scouting a year later.,NULL,NULL,NULL
312,Tim Walton ,Tim Walton (born March 11 1971) is the former defensive coordinator for the St. Louis Rams of the National Football League (NFL). He played college football at Ohio State.Walton was hired by the St. Louis Rams on February 12 2013. On January 29 2014 the Rams announced they would not be renewing Walton's contract with the team. The Rams quickly hired Defensive Coordinator Greg Williams to take Walton's place.,3/11/1971,NULL,NULL
313,Todd Haley,Todd Haley (born February 28 1967) is an American football coach currently serving as the offensive coordinator for the Pittsburgh Steelers. Haley recently served as the head coach of the Kansas City Chiefs of the National Football League (NFL) from 2009 to 2011. Prior to joining the Chiefs Haley served as the Arizona Cardinals' offensive coordinator from 2007 to 2008 and was the wide receivers coach for the New York Jets Chicago Bears and Dallas Cowboys.,2/28/1967,Atlanta Georgia,University of North Florida
315,Tom Coughlin,Thomas Richard Coughlin (born August 31 1946) is an American football coach who is currently head coach for the New York Giants of the National Football League (NFL). Coughlin led the Giants to victory in Super Bowl XLII and Super Bowl XLVI. Coughlin was also the inaugural head coach of the Jacksonville Jaguars serving from 1995-2002 and leading the team to two AFC Championship Games.,8/31/1946,NULL,Syracuse University
319,Tom Moore ,Tom Moore (born November 7 1938) is a football coach currently working as an offensive consultant for the NFL's Arizona Cardinals.,11/7/1938,Owatonna Minnesota,University of Iowa
321,Tony Sparano,Anthony Tony Sparano III (born (1961-10-07)October 7 1961) is an American football coach and currently the assistant head coach and offensive line coach of the Oakland Raiders. He previously served as the head coach of the Miami Dolphins and as offensive coordinator for the New York Jets.,10/7/1961,NULL,University of New Haven
322,Travis Jones,Travis Jones is the current defensive line coach for the Seattle Seahawks of the NFL. In 2010 when Jones was the assistant defensive line coach for the New Orleans Saints he suspended by the team for 30 days without pay for his role in a real estate scam where he allegedly made false statements on loan and real estate documents in order to obtain mortgage loans.,NULL,Irwinton Georgia,NULL
323,Trent Baalke,Trent John Baalke (/?b??lki?/ BAHL-kee) is the General Manager of the San Francisco 49ers an American football team in the National Football League (NFL). He was officially named General Manager in January 2011 though he had been responsible for the duties of a general manager since Scot McCloughan's departure from the team in March 2010.,NULL,NULL,NULL
324,Tyke Tolbert,Tyke Tolbert (born September 15 1967) is an American football coach and former player. He is currently the wide receivers coach for the Denver Broncos of the National Football League (NFL) a position he has held since the 2011 season.,9/15/1967,Conroe Texas,NULL
325,Vic Fangio,Victor John Vic Fangio (born August 22 1958) is an American football coach. He is the current defensive coordinator of the San Francisco 49ers. Prior to being named the 49ers Defensive Coordinator Fangio was defensive coordinator for the Stanford Cardinal linebackers coach for the Baltimore Ravens and defensive coordinator for the Houston Texans Indianapolis Colts and Carolina Panthers.,8/22/1958,NULL,NULL
329,Zac Taylor,Zac Taylor (born May 10 1983) is an American football assistant coach and former quarterback. He is currently the quarterbacks coach for the Miami Dolphins. From 2005 to 2006 he was the starting quarterback for Cornhuskers football team at the University of Nebraska Lincoln. He was recruited late in the 2004-2005 off-season by the Huskers being a described lucky break due to the Huskers lack of quarterbacks at the time.,5/10/1983,NULL,Nebraska Cornhuskers football
